STATE	Posterior	Log-likelihood	Log-prior	Partition
24400	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
24500	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
24600	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
24700	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
24800	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
24900	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
25000	-119.70573939342259	-112.6229465580374	-7.082792835385192	[[0,1,2,4,5,6,7,8],[3],[9]]
25100	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
25200	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
25300	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
25400	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
25500	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
25600	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
25700	-108.93366887976437	-104.32842544897676	-4.60524343078761	[[0,1,2,3,4,5,6,7,8,9]]
25800	-112.49453265052144	-104.79863534224984	-7.695897308271603	[[0,1,2,5,6,7,8,9],[3,4]]
25900	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
26000	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
26100	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
26200	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
